disc,url
10X Volumising Mascara 8ml,https://www.myntra.com/mascara/blue-heaven/blue-heaven-black-10x-volumising-mascara-8ml/15566924/buy
Nourishing Lip Balm with Shea Butter & Avocado Oil 4.5g - Cherry 02,https://www.myntra.com/lip-care/sugar-pop/sugar-pop-nourishing-uv-protection-hydrating-lip-balm-45-g---cherry-02/18892756/buy
Back to Basics Eyeshadow Palette Shade-02,https://www.myntra.com/eyeshadow/mars/mars-back-to-basics-eyeshadow-palette-shade-02/16228114/buy
Set Of 10 Matte Love Long Lasting Hydrating Mini Lipsticks - 1.3g Each,https://www.myntra.com/lipstick/blue-heaven/blue-heaven-set-of-10-matte-love-long-lasting-hydrating-mini-lipsticks---13g-each/22212908/buy
INCOLOR Pack Of 6 Intense Long-wear Eye Pencils,https://www.myntra.com/kajal-and-eyeliner/incolor/incolor-pack-of-6-intense-long-wear-eye-pencils/12015218/buy
"What It Is?:
INCOLOR Women Makeup Kit UC005, 165 gm

What It Does?:
Wake up to another day of work with a blissful feeling of looking your best with this Makeup Kit from Incolor. With a large number of contents, This kit has every shade in eye, Lip and cheek makeup.

Features:
Lets you create a new look every day
Contains several shades of eye, lip and cheek makeup
Comes with applicator and mirror
Highly Pigmented Shades that blend effortlessly

About The Brand:
Established in 2009, Incolor brings to you wide array of innovative cosmetics that cater to women from all walks of life.Available in vibrant colours with exceptional formulas and trendy design, Incolor makeup products amp up your daily makeup look and make you look all pretty and gorgeous.",https://www.myntra.com/makeup-kit/incolor/incolor-women-makeup-kit-uc005-165-gm/10213545/buy
Blue Heaven True Blue 2x Intense Kajal,https://www.myntra.com/kajal-and-eyeliner/blue-heaven/blue-heaven-true-blue-2x-intense-kajal---true-blue-035g/14449358/buy
Intense Easy Sketch Eyeliner - Extreme Black,https://www.myntra.com/kajal-and-eyeliner/blue-heaven/blue-heaven-intense-easy-sketch-eyeliner-1-ml---extreme-black/14449356/buy
Blue Heaven Green Queen2x Intense Kajal,https://www.myntra.com/kajal-and-eyeliner/blue-heaven/blue-heaven-green-2x-intense-kajal---green-queen/14449360/buy
Jelly & Butter Hydrating Lip Balm with Shea Butter & Vitamin E - Dusty Rose,https://www.myntra.com/lip-care/blue-heaven/blue-heaven-jelly--butter-hydrating-lip-balm-with-shea-butter--vitamin-e---dusty-rose/19765352/buy
Blue Heaven Hyperstay Liquid Matte Lipcolor 6ml - Mystic Maroon-05,https://www.myntra.com/lipstick/blue-heaven/blue-heaven-hyperstay-liquid-matte-lipcolor-6ml---mystic-maroon-05/14428264/buy
Set of 3 Matte Lipsticks Box - Browns 04,https://www.myntra.com/lipstick/mars/mars-set-of-3-matte-lipsticks-box---browns-04/17723176/buy
Nourishing & Hydrating Tinted Lip Balm with Shea Butter - Strawberry 06,https://www.myntra.com/lip-care/sugar-pop/sugar-pop-nourishing--hydrating-tinted-lip-balm-with-shea-butter-45-g---strawberry-06/21913896/buy
"Daily Life Forever52 Pro Artist Ultra Definition Liquid Foundation is packed with ultra-refined pigments that visually erases blemishes, conceals hyper pigmentation and blurs imperfections. A formula where skincare meets makeup will help you hydrate your skin while giving matte finish. Daily Life Forever52 Pro Artist Ultra Definition Liquid Foundation range is formulated for every skin type and every skin tone. It has a broad color spectrum, ranging from fair, beige, olive, rich shades and everything in between. A velvety smooth liquid foundation, that delivers full coverage and an airbrushed finish to your skin.",https://www.myntra.com/foundation/daily-life-forever52/daily-life-forever52-womens-pro-artist-ultra-definition-liquid-foundation/15239384/buy
"Glide Gel Eye Pencil
Shade Name: Tropical Green",https://www.myntra.com/kajal-and-eyeliner/incolor/incolor-glide-gel-eye-pencil-12-tropical-green--12-grams-green-/10781306/buy
Blue Heaven Black Get Bold Eyeliner,https://www.myntra.com/kajal-and-eyeliner/blue-heaven/blue-heaven-black-get-bold-eyeliner-7ml/15566922/buy
Smudge-Proof Waterproof Eyeliner Pen - Black,https://www.myntra.com/kajal-and-eyeliner/sugar-pop/sugar-pop-smudge-proof-waterproof-eyeliner-pen---black/18892648/buy
Smudge Proof Lengthening Clump Free Volumizing Mascara,https://www.myntra.com/mascara/sugar-pop/sugar-pop-smudge-proof-lengthening-clump-free-volumizing-mascara-9ml/18892746/buy
"Blue Heaven Rose Water Facial Toner contains potent antioxidants that boost your skin from within. Made from high quality rose-petal extract, the toner refreshes and improves skin texture and keeps it glowing. Its mild astringent properties tighten pores and tone skin while hydrating your skin, naturally.",https://www.myntra.com/toner/blue-heaven/blue-heaven-rose-water---125ml/14380832/buy
MARS 16 Color Infinity Matte Lip,https://www.myntra.com/lipstick/mars/mars-16-color-infinity-matte-lip-color-palette-shade-02/16668980/buy
Nourishing & Hydrating Tinted Lip Balm with Shea Butter - Peach 05,https://www.myntra.com/lip-care/sugar-pop/sugar-pop-nourishing--hydrating-tinted-lip-balm-with-shea-butter-45-g---peach-05/21913900/buy
"Ultra Definition Liquid Foundation
Shade name- Honey",https://www.myntra.com/foundation/daily-life-forever52/daily-life-forever52-ultra-definition-liquid-foundation--honey-30-ml/11632394/buy
Long-Lasting Lightweight Matte Lipstick 4.2g - Taupe 01,https://www.myntra.com/lipstick/sugar-pop/sugar-pop-long-lasting-lightweight-matte-lipstick-42g---taupe-01/18892676/buy
Blue Heaven Dip-n-Twist Nail Polish Remover is the perfect no-mess solution for removing your nail paint anywhere. This unique format contains a sponge infused with acetone-free cleanser that dissolves your nail paint without stripping it off its natural shine. This unique formats travels with you and helps you touch up your nails without needing anything extra.,https://www.myntra.com/nail-essentials/blue-heaven/blue-heaven-dip--twist-nail-paint-remover---40ml/14454592/buy
Nourishing & Hydrating Tinted Lip Balm with Shea Butter - Plum 07,https://www.myntra.com/lip-care/sugar-pop/sugar-pop-nourishing--hydrating-tinted-lip-balm-with-shea-butter-45-g---plum-07/21913898/buy
24Hrs Stay Kajal,https://www.myntra.com/kajal-and-eyeliner/blue-heaven/blue-heaven-black-24hrs-stay-kajal-035gm/15566928/buy
Mesmereyes Eyeshadow Palette,https://www.myntra.com/eyeshadow/mars/mars-multicoloured-mesmereyes-eyeshadow-palette/16228128/buy
Lash Twist Quick-Dry Waterproof Curling Mascara - Vibrant Blue,https://www.myntra.com/mascara/blue-heaven/blue-heaven-lash-twist-quick-dry-waterproof-curling-mascara-12ml---vibrant-blue/20735632/buy
"Instant Nail Paint Remover with Vitamin E 28 ml
Key Ingredient
Vitamin E: Increases moisture to the nail bed and the skin around the nails to rejuvenate and restore dry cuticles",https://www.myntra.com/nail-essentials/blue-heaven/blue-heaven-instant-nail-paint-remover-with-vitamin-e-28-ml/18542994/buy
"Maxi Pen Eyeliner
Shade name: Black",https://www.myntra.com/kajal-and-eyeliner/incolor/incolor-maxi-pen-eyeliner---black-2-gm/10934000/buy
Exposed Long Last Matte Effect Lip Gloss - 12,https://www.myntra.com/lip-gloss/incolor/incolor-exposed-long-last-matte-effect-lip-gloss---12/14551272/buy
Kiss & Blush Lip & Cheek Tint with Avocado Oil - Rosy Dusk,https://www.myntra.com/lipstick/blue-heaven/blue-heaven-kiss--blush-lip--cheek-tint-with-avocado-oil-85-g---rosy-dusk/19765372/buy
Multi back to basics palette,https://www.myntra.com/eyeshadow/mars/mars-multi-back-to-basics-eyeshadow-palette/16228076/buy
16 Hour Stay Waterproof & Longwear Kajal - Blue 02,https://www.myntra.com/kajal-and-eyeliner/sugar-pop/sugar-pop-16-hour-stay-waterproof--longwear-kajal---blue-02/18892650/buy
Mesmereyes Eyeshadow Palette,https://www.myntra.com/eyeshadow/mars/mars-multicoloured-mesmereyes-eyeshadow-palette-shade-01/16228032/buy
Blue Heaven Powder Matte Lipstick -Mocha Madness B02,https://www.myntra.com/lipstick/blue-heaven/blue-heaven-powder-matte-lipstick--mocha-madness-b02/14428258/buy
Blue Heaven Powder Matte Lipstick -Sienna Sunset N03,https://www.myntra.com/lipstick/blue-heaven/blue-heaven-powder-matte-lipstick--sienna-sunset-n03/14428260/buy
"This combo contains:
Flawless Makeup Base Primer
Long Lasting Makeup Fixer",https://www.myntra.com/makeup-kit/blue-heaven/blue-heaven-flawless-makeup-base-primer-30-g--long-lasting-makeup-fixer-combo-60-ml/18577002/buy
MARS Fantasy Highlighter Blusher and Bronzer Face Palette,https://www.myntra.com/highlighter-and-blush/mars/mars-women-fantasy-highlighter-blusher--bronzer-face-palette/16668994/buy
Matte Me Intense Velvet Matte Lipstick 4g - Plum Desire 310,https://www.myntra.com/lipstick/blue-heaven/blue-heaven-matte-me-intense-velvet-matte-lipstick-4g---plum-desire-310/22212906/buy
"It's time to play, with a exposed by Incolor Long Last Matte Effect liquid lip color that lasts for hours, feels ultra comfortable and looks absolutely amazing. Lips feel smooth and smooth, ultra comforted. The innovative curved wand makes precision application easy, even in just one stroke. This is paint with a passion. It saturates lips with boldly seductive finishes. Each gleaming, brushed chrome, super-hot shade lasts all day and comes in a finish that suits it best.The glossy tinted formula naturally and dramatically hydrates, nourishes, and increases lip volume. Matte: a soft, airy matte finish with a smooth, weightless feel. The full-coverage color is bold, velvety, Sparkle: a high-shine, super-sparkle lip topper that feels lightweight and moisturizing. Shine: with a super lacquer shine, this liquid-latex finish is perfect as your go-to gleam, in concentrated, creamy colors.- Lips appear full and pouty- Nourishes and conditions- Lips appear fuller from first application and plumper overall, over time- Global beauty brand",https://www.myntra.com/lip-gloss/incolor/incolor-exposed-long-last-matte-effect-lip-gloss-09/14551262/buy
